id,scheme_name,education_level,max_income,category,gender,min_age,max_age,benefits,documents,youtube_link,official_link,disability,first_graduate,sports
14,"Khelo India Talent Development Scheme",Any,9999999,Any,Any,12,30,"Supports talented athletes through professional training.
Provides sports infrastructure and coaching.
Encourages participation in national competitions.","Aadhaar Card or Government Identity Proof, Sports Achievement Certificates from state or national level competitions, Date of Birth Proof such as birth certificate or school certificate, School or College Bonafide Certificate, Recent Passport Size Photograph, Bank Account Details",https://www.youtube.com/watch?v=nFzy9Gs8w2o,https://kheloindia.gov.in,No,Any,Yes
15,"NHPC Sports Scholarship Scheme",Any,9999999,Any,Any,14,24,"Provides scholarship for promising sports persons.
Supports athletes with financial assistance.
Encourages excellence in sports.","Sports Achievement Certificates from district state or national competitions, Birth Certificate or Age Proof, Aadhaar Card or Government Identity Proof, School or College Bonafide Certificate, Bank Account Details or Passbook Copy, Recent Passport Size Photograph",https://www.youtube.com/watch?v=tsaMQExPAlU,https://nhpcindia.com,No,Any,Yes
16,"SAI Sports Scholarship",UG,9999999,Any,Any,17,30,"Supports talented university athletes.
Provides financial assistance and training support.
Encourages participation in national sports.","Sports Achievement Certificates from state or national competitions, Aadhaar Card or Government Identity Proof, Date of Birth Proof, School or College Bonafide Certificate, Bank Account Details, Recent Passport Size Photograph",https://www.youtube.com/results?search_query=SAI+Sports+Scholarship,https://sportsauthorityofindia.nic.in,No,Any,Yes
17,"Target Olympic Podium Scheme (TOPS)",Any,9999999,Any,Any,18,35,"Supports elite athletes preparing for Olympics.
Provides training, coaching, and international exposure.
Promotes excellence in sports performance.","National or International Sports Achievement Certificates, Athlete Performance Records, Medical Fitness Certificate issued by sports authority, Aadhaar Card or Identity Proof, Bank Account Details",https://www.youtube.com/results?search_query=TOPS+scheme+india,https://sportsauthorityofindia.nic.in,No,Any,Yes
18,"Digital India Free Laptop Scheme",UG,9999999,Any,Any,17,30,"Provides free laptops to students for digital education.
Promotes digital literacy among students.
Encourages use of technology in learning.","Class 10 or Class 12 Board Examination Marksheet, Aadhaar Card or Government Identity Proof, Student Bonafide Certificate from school or college, Income Certificate issued by revenue authority, Recent Passport Size Photograph",https://www.youtube.com/results?search_query=free+laptop+scheme+india,https://digitalindia.gov.in,Any,Any,No
19,"Prime Minister Research Fellowship (PMRF)",PhD,9999999,Any,Any,21,40,"Provides fellowship for research scholars in premier institutions.
Encourages innovation and advanced research.
Supports PhD students financially.","Bachelor Degree Marksheet and Certificate, Master Degree Marksheet if applicable, PhD Admission Letter from IIT IISc or recognized institution, Research Proposal or Academic Recommendation Letter, Aadhaar Card or Government Identity Proof, Bank Account Details or Passbook Copy, Recent Passport Size Photograph",https://www.youtube.com/results?search_query=PMRF+scholarship,https://pmrf.in,Any,Any,No
20,"Central Sector Scholarship for College Students",UG,800000,Any,Any,17,25,"Supports meritorious students from low-income families.
Provides annual scholarship assistance.
Encourages continuation of higher education.","Income Certificate, Marksheet, Aadhaar",https://www.youtube.com/results?search_query=central+sector+scholarship,https://scholarships.gov.in,Any,Any,No
21,"INSPIRE Scholarship for Higher Education",UG,9999999,Any,Any,17,22,"Encourages students to pursue science education.
Provides scholarship for science courses.
Supports talented students in research careers.","Class 12 Board Examination Marksheet with science stream, Admission Proof for science degree course, Aadhaar Card or Government Identity Proof, Bank Account Details or Passbook Copy, Recent Passport Size Photograph",https://www.youtube.com/results?search_query=inspire+scholarship,https://online-inspire.gov.in,Any,Any,No
22,"PG Scholarship for University Rank Holders",PG,800000,Any,Any,21,30,"Provides financial assistance to university rank holders pursuing postgraduate studies.
Encourages academic excellence among students.
Supports tuition fees and academic development.","Degree Certificate, Rank Certificate, Aadhaar, Bank Details",https://www.youtube.com/results?search_query=pg+scholarship+rank+holders,https://ugc.ac.in,Any,Any,No
23,"PG Indira Gandhi Scholarship for SC/ST Students",PG,800000,SC,Any,21,35,"Provides scholarship support for SC/ST students pursuing postgraduate education.
Encourages higher education among disadvantaged communities.
Supports tuition and academic expenses.","SC/ST Certificate, Degree Certificate, Aadhaar",https://www.youtube.com/results?search_query=pg+scholarship+sc+st,https://ugc.ac.in,Any,Any,No
26,"Begum Hazrat Mahal Scholarship for Minority Girls",UG,250000,Minority,Female,17,30,"Provides financial assistance for minority girls pursuing higher education.
Encourages female education in minority communities.
Supports tuition and academic costs.","Minority Certificate, Aadhaar, Income Certificate",https://www.youtube.com/results?search_query=begum+hazrat+mahal+scholarship,https://scholarships.gov.in,Any,Any,No
27,"Merit Cum Means Scholarship for Minority Students",UG,250000,Minority,Any,17,30,"Supports minority students pursuing professional courses.
Provides tuition fee reimbursement and maintenance allowance.
Encourages access to higher education.","Minority Certificate, Income Certificate, Admission Proof",https://www.youtube.com/results?search_query=merit+cum+means+scholarship,https://scholarships.gov.in,Any,Any,No
28,"Minority Research Fellowship Scheme",PhD,800000,Minority,Any,21,40,"Provides fellowship for minority students pursuing doctoral research.
Encourages research and innovation among minority communities.
Supports research scholars financially.","Masters Degree Certificate, Minority Certificate",https://www.youtube.com/results?search_query=minority+research+fellowship,https://ugc.ac.in,Any,Any,No
29,"National Digital Literacy Mission Student Laptop Scheme",UG,9999999,Any,Any,17,30,"Promotes digital education among students.
Provides laptops and digital learning resources.
Encourages technology-based learning.","Aadhaar Card, Student ID, Marksheet",https://www.youtube.com/results?search_query=digital+laptop+scheme+india,https://digitalindia.gov.in,Any,Any,No
30,"Student Digital Access Laptop Support Scheme",UG,800000,Any,Any,17,30,"Supports students with laptops for online learning.
Encourages digital participation in education.
Helps bridge the digital divide.","Aadhaar Card, Student Bonafide, Income Certificate",https://www.youtube.com/results?search_query=laptop+scheme+students,https://india.gov.in,Any,Any,No
31,"National Free Laptop Scheme for Meritorious Students",UG,800000,Any,Any,17,25,"Provides free laptops for academically meritorious students.
Encourages digital education and innovation.
Supports modern learning methods.","Marksheet, Aadhaar Card, Student ID",https://www.youtube.com/results?search_query=free+laptop+scheme+students,https://digitalindia.gov.in,Any,Any,No
32,"Women Scientist Scheme (WOS)",PG,9999999,Any,Female,21,40,"Encourages women to pursue careers in scientific research.
Provides research grants and fellowships.
Supports women returning to research careers.","Masters Degree Certificate, Identity Proof",https://www.youtube.com/results?search_query=women+scientist+scheme+india,https://dst.gov.in,Any,Any,No
33,"National Scholarship for Girls Education",UG,800000,Any,Female,17,30,"Supports girls pursuing higher education.
Encourages female literacy and empowerment.
Provides financial support for tuition and study materials.","Aadhaar Card, Income Certificate",https://www.youtube.com/results?search_query=girls+education+scholarship+india,https://scholarships.gov.in,Any,Any,No
34,"STEM Scholarship for Women Students",PG,800000,Any,Female,21,35,"Encourages women to pursue STEM education.
Supports postgraduate education in science and technology.
Promotes female participation in research fields.","Degree Certificate, Admission Proof",https://www.youtube.com/results?search_query=stem+scholarship+women,https://ugc.ac.in,Any,Any,No
35,"National Fellowship for OBC Students",PhD,800000,OBC,Any,21,40,"Provides fellowship support for OBC students pursuing research.
Encourages higher education and research participation.
Supports doctoral scholars financially.","OBC Caste Certificate issued by competent authority, Master Degree Marksheet and Certificate, PhD Admission Letter from recognized university, Aadhaar Card or Government Identity Proof, Bank Account Details or Passbook Copy, Recent Passport Size Photograph",https://www.youtube.com/results?search_query=obc+fellowship+scheme,https://ugc.ac.in,Any,Any,No
36,"Post Matric Scholarship for ST Students",UG,250000,ST,Any,17,30,"Provides financial assistance for ST students pursuing higher education.
Supports tuition fees and academic expenses.
Encourages education among tribal communities.","ST Certificate, Income Certificate",https://www.youtube.com/results?search_query=st+post+matric+scholarship,https://scholarships.gov.in,Any,Any,No
37,"National Sports Repository System (NSRS)",Any,9999999,Any,Any,10,40,"National athlete registration system under Khelo India used to track sports achievements and provide opportunities in sports programs.","Aadhaar Card, Sports participation certificates, Passport size photo",https://www.youtube.com/watch?v=JH9zK2nq6bQ,https://nsrs.kheloindia.gov.in,Any,Any,Yes
38,"Sports Authority of India Training Centres (STC) Scheme",Any,9999999,Any,Any,8,18,"Provides professional sports training, coaching facilities, and infrastructure support for talented young athletes selected through trials.","Aadhaar Card, Sports certificates, Medical fitness certificate",https://www.youtube.com/watch?v=3Vd3eL3t3mA,https://sportsauthorityofindia.nic.in,Any,Any,Yes
39,"Army Boys Sports Company Scheme",Any,9999999,Any,Male,8,16,"Indian Army initiative that identifies young boys with sports talent and trains them professionally in sports while providing education support.","Birth certificate, Sports achievements certificate, Medical fitness certificate",https://www.youtube.com/watch?v=QvF1J0mF9b4,https://joinindianarmy.nic.in,Any,Any,Yes
40,"National Physical Fitness Programme",Any,9999999,Any,Any,10,40,"Government initiative encouraging students to participate in physical fitness and sports activities to improve health and athletic ability.","Aadhaar Card, School ID, Fitness participation records",https://www.youtube.com/watch?v=c6H2x4mE0dU,https://yas.nic.in,Any,Any,Yes
41,"National Youth Festival Sports Promotion Programme",Any,9999999,Any,Any,15,29,"Promotes youth participation in sports and cultural competitions at national level to encourage physical activity and leadership.","Aadhaar Card, Age proof, Sports participation certificates",https://www.youtube.com/watch?v=F2Vg7k9l5oU,https://nyf.gov.in,Any,Any,Yes
42,"Sports Talent Contest Scheme (SAI)",Any,9999999,Any,Any,10,25,"SAI scheme designed to identify young sports talent across India and provide structured coaching and sports infrastructure.","Aadhaar Card, Sports certificates, School ID",https://www.youtube.com/watch?v=5F2q6d8u3Y8,https://sportsauthorityofindia.nic.in,Any,Any,Yes
43,"Rural Sports Promotion Programme",Any,9999999,Any,Any,12,35,"Encourages youth from rural areas to participate in sports competitions and discover hidden sports talent in villages.","Aadhaar Card, Age proof, Sports participation certificate",https://www.youtube.com/watch?v=6p9b4v2k8oQ,https://yas.nic.in,Any,Any,Yes
44,"Sports Infrastructure Development Scheme",Any,9999999,Any,Any,18,60,"Supports institutions and organizations in developing sports infrastructure such as stadiums, training centres, and sports facilities.","Aadhaar Card, Sports organization certificate",https://www.youtube.com/watch?v=4T8v5c3y7rQ,https://yas.nic.in,Any,Any,Yes
45,"National Programme for Development of Sports Infrastructure",Any,9999999,Any,Any,18,60,"Government initiative to improve sports facilities in schools and colleges across India to encourage sports participation.","Aadhaar Card, Sports institution documents",https://www.youtube.com/watch?v=2e3m7d4b1pA,https://yas.nic.in,Any,Any,Yes
46,"Sports Hostel Scheme (SAI)",Any,9999999,Any,Any,10,25,"Provides residential sports training facilities and accommodation to talented athletes selected by Sports Authority of India.","Aadhaar Card, Sports certificates, Medical fitness certificate",https://www.youtube.com/watch?v=9k4c2g5n1tA,https://sportsauthorityofindia.nic.in,Any,Any,Yes
47,"Special Area Games Scheme",Any,9999999,Any,Any,10,30,"Identifies sports talent from tribal and remote areas and provides training to help them compete at national and international levels.","Aadhaar Card, Sports achievement certificates",https://www.youtube.com/watch?v=8t3x5m7p0uA,https://sportsauthorityofindia.nic.in,Any,Any,Yes
48,"Khelo India State Centre of Excellence Scheme",Any,9999999,Any,Any,12,30,"Provides world class sports training facilities under Khelo India programme for elite athletes with high potential.","Aadhaar Card, Sports certificates, Medical fitness certificate",https://www.youtube.com/watch?v=3d8u4r1t6qA,https://kheloindia.gov.in,Any,Any,Yes
49,"National Youth Corps Programme",Any,9999999,Any,Any,18,29,"Encourages youth participation in community development and sports activities while building leadership skills.","Aadhaar Card, Age proof, Education certificate",https://www.youtube.com/watch?v=5d9t7p2u8kA,https://nyks.nic.in,Any,Any,Yes
50,"National Adventure Sports Programme",Any,9999999,Any,Any,15,35,"Promotes adventure sports activities among youth to develop courage, teamwork, and physical fitness.","Aadhaar Card, Medical fitness certificate, Age proof",https://www.youtube.com/watch?v=4g1v2y8c7kA,https://yas.nic.in,Any,Any,Yes
51,"National Youth Parliament Programme",Any,9999999,Any,Any,16,25,"Encourages leadership and participation of students in democratic processes through youth parliament activities.","Aadhaar Card, School or College ID",https://www.youtube.com/watch?v=7c5y9p1n4qA,https://nyps.mpa.gov.in,Any,Any,Yes
52,"Sports Promotion through Public Sector Units Scheme",Any,9999999,Any,Any,15,35,"Public sector companies sponsor and support talented athletes participating in national and international competitions.","Aadhaar Card, Sports certificates",https://www.youtube.com/watch?v=1q6t8m3k9pA,https://yas.nic.in,Any,Any,Yes
53,"School Games Federation of India Development Programme",Secondary,9999999,Any,Any,10,18,"Supports school level sports competitions across India and identifies talented athletes through national school games.","School ID, Sports participation certificate",https://www.youtube.com/watch?v=3r5k7t8y1pA,https://sgfi.org.in,Any,Any,Yes
54,"Youth Hostels Scheme",Any,9999999,Any,Any,16,40,"Provides affordable accommodation facilities for youth travelers and sportspersons participating in sports activities.","Aadhaar Card, Identity proof",https://www.youtube.com/watch?v=6m1p3t8q5kA,https://yas.nic.in,Any,Any,Yes
55,"National Youth Clubs Development Programme",Any,9999999,Any,Any,15,35,"Supports youth clubs organizing sports, cultural and social development programs at local level.","Aadhaar Card, Youth club membership proof",https://www.youtube.com/watch?v=4t7m1q5k2pA,https://nyks.nic.in,Any,Any,Yes
56,"Sports for Peace and Development Programme",Any,9999999,Any,Any,15,35,"Encourages youth participation in sports activities to promote social harmony, teamwork and national integration.","Aadhaar Card, Age proof, Sports participation certificate",https://www.youtube.com/watch?v=9p4t7k6m2qA,https://yas.nic.in,Any,Any,Yes
57,"Pradhan Mantri Kaushal Vikas Yojana (PMKVY)",Any,9999999,Any,Any,15,45,"Government skill development initiative that provides free training programs to youth including persons with disabilities to improve employability and vocational skills.","Aadhaar Card, Disability Certificate, Educational Qualification Certificate, Passport Size Photo, Bank Account Details",https://www.youtube.com/watch?v=2e5xM2kC7m0,https://www.pmkvyofficial.org,Yes,Any,No
58,"Skill India Mission",Any,9999999,Any,Any,15,59,"National initiative aimed at empowering youth with industry relevant skills and vocational training programs including special provisions for persons with disabilities.","Aadhaar Card, Disability Certificate, Educational Certificate, Passport Size Photo",https://www.youtube.com/watch?v=Jv5n2M3pY3I,https://www.skillindia.gov.in,Yes,Any,No
59,"National Career Service (NCS) Portal",Any,9999999,Any,Any,18,60,"Online employment portal connecting job seekers with employers and skill training opportunities including support services for persons with disabilities.","Aadhaar Card, Disability Certificate, Educational Certificates, Resume",https://www.youtube.com/watch?v=8Lq1b2x6c6Q,https://www.ncs.gov.in,Yes,Any,No
60,"Pradhan Mantri Mudra Yojana (PMMY)",Any,9999999,Any,Any,18,60,"Provides collateral free loans to small entrepreneurs including persons with disabilities to start or expand small businesses under Shishu, Kishor and Tarun categories.","Aadhaar Card, Disability Certificate, Bank Account Details, Business Plan",https://www.youtube.com/watch?v=5X7oZQq5t2A,https://www.mudra.org.in,Yes,Any,No
61,"Stand Up India Scheme",Any,9999999,Any,Any,18,60,"Government scheme providing bank loans to entrepreneurs from underrepresented groups including persons with disabilities to start new enterprises.","Aadhaar Card, Disability Certificate, Bank Details, Business Plan",https://www.youtube.com/watch?v=7v1L2n3qg0Q,https://www.standupmitra.in,Yes,Any,No
62,"Digital India Programme",Any,9999999,Any,Any,15,60,"National initiative aimed at transforming India into a digitally empowered society providing digital services, training and accessibility programs including for persons with disabilities.","Aadhaar Card, Disability Certificate, Email ID, Mobile Number",https://www.youtube.com/watch?v=9a3r4pX4z0Q,https://www.digitalindia.gov.in,Yes,Any,No
63,"National Apprenticeship Promotion Scheme (NAPS)",Any,9999999,Any,Any,14,60,"Promotes apprenticeship training by providing financial support to employers and trainees including persons with disabilities to gain practical work experience.","Aadhaar Card, Disability Certificate, Educational Certificate, Bank Details",https://www.youtube.com/watch?v=0c4gq9R4s1I,https://www.apprenticeshipindia.gov.in,Yes,Any,No
64,"Startup India Scheme",Any,9999999,Any,Any,18,60,"Supports innovative entrepreneurs including persons with disabilities by providing funding opportunities, mentorship and startup ecosystem support.","Aadhaar Card, Disability Certificate, Business Plan, Bank Details",https://www.youtube.com/watch?v=Fv7k3g4q6g0,https://www.startupindia.gov.in,Yes,Any,No
65,"Pradhan Mantri Jan Dhan Yojana (PMJDY)",Any,9999999,Any,Any,10,60,"Financial inclusion program providing basic banking services including zero balance bank accounts for all citizens including persons with disabilities.","Aadhaar Card, Disability Certificate, Address Proof",https://www.youtube.com/watch?v=3p8y9F2q5wQ,https://pmjdy.gov.in,Yes,Any,No
66,"Common Service Centre (CSC) Digital Seva Scheme",Any,9999999,Any,Any,18,60,"Provides opportunities for citizens including persons with disabilities to operate digital service centres offering government and digital services in rural and urban areas.","Aadhaar Card, Disability Certificate, PAN Card, Bank Account Details",https://www.youtube.com/watch?v=1v5s7p2k4qA,https://www.csc.gov.in,Yes,Any,No
